Committee,Type,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Country,Occupation,Employer,Contribution Type,Amount Type,Purpose,Total To Date,Refund Transaction Type,Refund Original Transaction Date,Refund Original Transaction Total,Refund Original Transaction Descr,Previous Transaction (Y/N),Fundraiser Name,Fundraiser Location,Fundraiser Attendees,Fundraiser Tickets Sold,Election Type,Total Primary,Total General,type,Expenditure Type,Candidate Issue,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
Montanans for Responsible Stewardship,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-24 00:00:00,Alphagraphics,,,,1947 South Avenue West,Missoula,MT,59801,,-796.23,,,,,,Door Hangers for canvassing,,,,,,,,,,,PM,,,,3,Dave Bedey SD 43,,2250.0,,N,,,,,,,,DAVID BEDEY,SENATE DISTRICT 43,REP,STATE SENATOR DISTRICT 43
Montanans for Responsible Stewardship,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-24 00:00:00,Alphagraphics,,,,1947 South Avenue West,Missoula,MT,59801,,-368.53,,,,,,Door Hangers for canvassing,,,,,,,,,,,PM,,,,3,Susan Geise HD 17,,800.0,,N,,,,,,,,SUSAN GEISE,HOUSE DISTRICT 17,REP,STATE REPRESENTATIVE DISTRICT 17
Montanans for Responsible Stewardship,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-20 00:00:00,Alpha Graphics,,,,1947 South Avenue West,Missoula,MT,59801,,-497.1,,,,,,Door Hangers for canvassing,,,,,,,,,,,PM,,,,3,Curtis Cochran HD 90,,1200.0,,N,,,,,,,,CURTIS J COCHRAN,HOUSE DISTRICT 90,REP,STATE REPRESENTATIVE DISTRICT 90
Montanans for Responsible Stewardship,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-24 00:00:00,Alphagraphics,,,,1947 South Avenue West,Missoula,MT,59801,,-155.92,,,,,,Door Hangers for canvassing,,,,,,,,,,,PM,,,,3,John Fitzpatrick HD 76,,250.0,,N,,,,,,,,JOHN FITZPATRICK,HOUSE DISTRICT 76,REP,STATE REPRESENTATIVE DISTRICT 76
Montanans for Responsible Stewardship,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-24 00:00:00,Bridge Pizza,,,,600 South Higgins,Missoula,MT,59801,,-76.0,,,,,,Food during phone banking,,,,,,,,,,,PM,,,,3,Curtis Cochran HD 90,,,,N,,,,,,,,CURTIS J COCHRAN,HOUSE DISTRICT 90,REP,STATE REPRESENTATIVE DISTRICT 90
Montanans for Responsible Stewardship,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-24 00:00:00,Alphagraphics,,,,1947 South Avenue West,Missoula,MT,59801,,-368.53,,,,,,Door Hangers for canvassing,,,,,,,,,,,PM,,,,3,Linda Reksten HD 13,,800.0,,N,,,,,,,,LINDA REKSTEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Montanans for Responsible Stewardship,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-24 00:00:00,Alphagraphics,,,,1947 South Avenue West,Missoula,MT,59801,,-434.6,,,,,,Door Hangers for canvassing,,,,,,,,,,,PM,,,,3,Michele Binkley HD 85,,1000.0,,N,,,,,,,,MICHELE BINKLEY,HOUSE DISTRICT 85,REP,STATE REPRESENTATIVE DISTRICT 85
Montanans for Responsible Stewardship,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-24 00:00:00,Alphagraphics,,,,1947 South Avenue West,Missoula,MT,59801,,-513.63,,,,,,Door Hangers for canvassing,,,,,,,,,,,PM,,,,3,Wayne Rusk HD 86,,1250.0,,N,,,,,,,,WAYNE RUSK,HOUSE DISTRICT 86,REP,STATE REPRESENTATIVE DISTRICT 86
Wild Montana Action Fund,contribution,03/26/2026 to 04/25/2026,C4,2026-03-31 00:00:00,Montanans for Responsible Stewardship,,,,PO Box 5192,Helena,MT,59604,,1599.82,,,,4,CA,,5665.11,OTHER,,,,N,,,,,,,,Fundraisers & misc,,,,,,,,,,,,,,,,,
Wild Montana Action Fund,contribution,03/26/2026 to 04/25/2026,C4,2026-04-15 00:00:00,Montanans for Responsible Stewardship,,,,PO Box 5192,Helena,MT,59604,,2135.93,,,,4,CA,,5665.11,OTHER,,,,N,,,,,,,,Fundraisers & misc,,,,,,,,,,,,,,,,,
