Committee,Type,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Country,Occupation,Employer,Contribution Type,Amount Type,Purpose,Total To Date,Refund Transaction Type,Refund Original Transaction Date,Refund Original Transaction Total,Refund Original Transaction Descr,Previous Transaction (Y/N),Fundraiser Name,Fundraiser Location,Fundraiser Attendees,Fundraiser Tickets Sold,Election Type,Total Primary,Total General,type,Expenditure Type,Candidate Issue,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-11-14 00:00:00,Forward Montana Voter Fund,,,,"500 Higgins Ave, Suite 103",Missoula,MT,59802,,-1707.93,,,,,,See Addendum,,,,,,,,,,,GN,,,,3.0,"Emma Bode, Amy Aguirre, Andrew Lindley, Kyle Waterman, Marijke Stob",,,,N,,,,,,,,MICHELE BINKLEY | JADE-HEATHER M ACKERMAN,HOUSE DISTRICT 85 | SENATE DISTRICT 8,REP | DEM,STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 8
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-10-31 00:00:00,Forward Montana Voter Fund,,,,"500 Higgins Ave, Suite 103",Missoula,MT,59802,,-2346.05,,,,,,See Addendum,,,,,,,,,,,GN,,,,3.0,"Emma Bode, Amy Aguirre, Andrew Lindley, Kyle Waterman, Marijke Stob",,,,Y,,,,,,,,MICHELE BINKLEY | JADE-HEATHER M ACKERMAN,HOUSE DISTRICT 85 | SENATE DISTRICT 8,REP | DEM,STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 8
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-11-02 00:00:00,Door Dash,,,,"303 2nd Street, San Francisco, CA 94105",San Francisco,CA,94105,,-103.41,,,,,,Lunch for canvassers,,,,,,,,,,,GN,,,,3.0,"Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-11-03 00:00:00,Jimmy John's,,,,122 N. Broadway,Billings,MT,59101,,-50.34,,,,,,Lunch for canvassers,,,,,,,,,,,GN,,,,3.0,"Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-10-26 00:00:00,Meta,,,,1 Hacker Way,Menlo Park,CA,94025,,-225.6,,,,,,ads for endorsed candidates,,,,,,,,,,,GN,,,,3.0,"Emma Bode, Amy Aguirre, Andrew Lindley, Kyle Waterman, Marijke Stob",,,,N,,,,,,,,MICHELE BINKLEY | JADE-HEATHER M ACKERMAN,HOUSE DISTRICT 85 | SENATE DISTRICT 8,REP | DEM,STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 8
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-10-25 00:00:00,black dog coffee,,,Black Dog Coffee,1528 24th St W,Billings,MT,59102,,-28.46,,,,,,Drinks for volunteers,,,,,,,,,,,GN,,,,3.0,"Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-11-08 00:00:00,Meta,,,,1 Hacker Way,Menlo Park,CA,94025,,-48.8,,,,,,Endorsement ads,,,,,,,,,,,GN,,,,3.0,"Emma Bode, Amy Aguirre, Andrew Lindley, Kyle Waterman, Marijke Stob",,,,N,,,,,,,,MICHELE BINKLEY | JADE-HEATHER M ACKERMAN,HOUSE DISTRICT 85 | SENATE DISTRICT 8,REP | DEM,STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 8
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-11-02 00:00:00,Meta,,,,1 Hacker Way,Menlo Park,CA,94025,,-317.89,,,,,,Endorsement ads,,,,,,,,,,,GN,,,,3.0,"Emma Bode, Amy Aguirre, Andrew Lindley, Kylae Waterman, Marijke Stob",,,,N,,,,,,,,MICHELE BINKLEY | JADE-HEATHER M ACKERMAN,HOUSE DISTRICT 85 | SENATE DISTRICT 8,REP | DEM,STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 8
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-11-04 00:00:00,Door Dash,,,,"303 2nd Street, San Francisco, CA 94105",San Francisco,CA,94105,,-2.0,,,,,,tip for door dash order on 11/2,,,,,,,,,,,GN,,,,3.0," Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-11-03 00:00:00,City Brew,,,,1640 Grand Ave,Billings,MT,59102,,-5.4,,,,,,coffee for canvassers,,,,,,,,,,,GN,,,,3.0,"Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-11-03 00:00:00,City Brew,,,,1640 Grand Ave,Billings,MT,59102,,-9.1,,,,,,coffee for canvassers,,,,,,,,,,,GN,,,,3.0,"Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-11-03 00:00:00,City Brew,,,,1640 Grand Ave,Billings,MT,59102,,-13.45,,,,,,coffee for canvassers,,,,,,,,,,,GN,,,,3.0,"Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,expenditure,10/25/2025 to 11/25/2025,C6,2025-11-03 00:00:00,Jimmy John's,,,,122 N. Broadway,Billings,MT,59101,,-50.34,,,,,,Lunch for canvassers,,,,,,,,,,,GN,,,,3.0,"Amy Aguirre (Billings City Council Ward 3), Andrew Lindley (Billings City Council Ward 4)",,,,N,,,,,,,,FINLEY WARDEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Forward Montana Voter Fund,expenditure,09/26/2025 to 10/24/2025,C6,2025-10-18 00:00:00,Billings Times,,,,2919 Montana Ave,Billings,MT,59101,,-580.0,,,,,,Walk cards for endorsed candidates in Billings,,,,,,,,,,,GN,,,,3.0,"Mark Nicholson, Kassi Strong, Amy Aguirre, Andrew Lindley, Patrick Olp",,,,N,,,,,,,,NELLY NICOL | MICHELE BINKLEY,HOUSE DISTRICT 53 | HOUSE DISTRICT 85,REP | REP,STATE REPRESENTATIVE DISTRICT 53 | STATE REPRESENTATIVE DISTRICT 85
Forward Montana Voter Fund,expenditure,09/26/2025 to 10/24/2025,C6,2025-10-18 00:00:00,Staples,,,,1290 US-2 ,Kalispell,MT,59901,,-109.99,,,,,,Walk cards for Flathead endorsed candidates,,,,,,,,,,,GN,,,,3.0,"Marijke Stob, Ryan Hunter, Kyle Waterman, Nathan Dugan",,,,N,,,,,,,,JADE-HEATHER M ACKERMAN,SENATE DISTRICT 8,DEM,STATE SENATOR DISTRICT 8
Forward Montana Voter Fund,expenditure,09/26/2025 to 10/24/2025,C6,2025-10-18 00:00:00,Staples,,,,1290 Hwy 2 E,Kalispell,MT,59901,,-109.99,,,,,,Walk cards for Flathead endorsed candidates,,,,,,,,,,,GN,,,,3.0,"Marijke Stob, Ryan Hunter, Kyle Waterman, Nathan Dugan",,,,N,,,,,,,,JADE-HEATHER M ACKERMAN,SENATE DISTRICT 8,DEM,STATE SENATOR DISTRICT 8
Wild Montana Action Fund,contribution,03/26/2026 to 04/25/2026,C4,2026-03-31 00:00:00,Wild Montana Voter Fund,,,,PO Box 6371,Helena,MT,59604,,1736.09,,,,4,CA,,4496.06,OTHER,,,,N,,,,,,,,Fundraisers & misc,,,,,,,,,,,,,,,,,
Wild Montana Action Fund,contribution,03/26/2026 to 04/25/2026,C4,2026-04-15 00:00:00,Wild Montana Voter Fund,,,,PO Box 6371,Helena,MT,59604,,1444.43,,,,4,CA,,4496.06,OTHER,,,,N,,,,,,,,Fundraisers & misc,,,,,,,,,,,,,,,,,
